Sent At,Direction
"10/31/20, 9:42 AM",INCOMING
"10/28/20, 1:41 PM",INCOMING
"10/28/20, 12:33 PM",INCOMING
"10/28/20, 10:53 AM",INCOMING
"10/28/20, 9:49 AM",INCOMING
"10/28/20, 9:33 AM",INCOMING
"10/28/20, 8:42 AM",INCOMING
"10/26/20, 6:15 AM",INCOMING
"10/25/20, 9:23 AM",INCOMING
"10/25/20, 6:11 AM",INCOMING
"10/24/20, 4:36 PM",INCOMING
"10/24/20, 2:52 AM",INCOMING
"10/22/20, 11:11 PM",INCOMING
"10/22/20, 11:26 AM",INCOMING
"10/20/20, 7:45 PM",INCOMING
"10/20/20, 9:53 AM",INCOMING
"10/18/20, 9:52 PM",INCOMING
"10/17/20, 10:55 AM",INCOMING
"10/17/20, 9:28 AM",INCOMING
"10/16/20, 6:20 AM",INCOMING
"10/15/20, 8:52 AM",INCOMING
"10/14/20, 1:30 AM",INCOMING
"10/12/20, 5:45 PM",INCOMING
"11/5/20, 10:47 AM",INCOMING
"11/5/20, 9:49 AM",INCOMING
"11/4/20, 6:17 AM",INCOMING
"11/3/20, 9:38 AM",INCOMING
"11/2/20, 3:11 AM",INCOMING
"11/1/20, 2:43 AM",INCOMING
"11/1/20, 12:27 AM",INCOMING
"10/31/20, 12:55 PM",INCOMING
"10/31/20, 10:30 AM",INCOMING
"10/31/20, 9:22 AM",INCOMING
"10/30/20, 1:19 AM",INCOMING
"10/29/20, 9:39 PM",INCOMING
"10/29/20, 1:04 AM",INCOMING
"10/29/20, 12:02 AM",INCOMING
"10/28/20, 8:54 PM",INCOMING
"10/27/20, 7:34 AM",INCOMING
"10/27/20, 12:17 AM",INCOMING
"10/25/20, 11:10 AM",INCOMING
"10/21/20, 1:38 PM",INCOMING
"10/20/20, 11:47 AM",INCOMING
"10/20/20, 11:35 AM",INCOMING
"10/20/20, 6:26 AM",INCOMING
"10/20/20, 4:18 AM",INCOMING
"10/20/20, 4:05 AM",INCOMING
"10/19/20, 8:21 AM",INCOMING
"10/18/20, 2:29 AM",INCOMING
"10/16/20, 4:12 AM",INCOMING
"10/15/20, 10:45 PM",INCOMING
"10/15/20, 12:13 AM",INCOMING
