Endorsement Date,Skill Name
2020/04/12 14:21:05 UTC,Research
2020/04/02 08:22:08 UTC,Web Development
2020/04/02 08:21:55 UTC,Python (Programming Language)
2020/04/02 08:21:53 UTC,JavaScript
2020/03/24 12:32:54 UTC,Microsoft Office
2020/03/08 09:29:51 UTC,C (Programming Language)
2019/03/12 19:49:11 UTC,Microsoft Office
2018/04/30 11:59:50 UTC,C
2017/07/28 17:45:00 UTC,C++
2017/06/03 05:24:55 UTC,Microsoft PowerPoint
2017/06/03 05:24:49 UTC,CSS
2017/06/03 05:24:47 UTC,HTML
2017/06/03 05:24:47 UTC,PHP
2017/06/03 05:24:39 UTC,LaTeX
2017/06/03 05:24:39 UTC,Unity
2017/03/22 13:46:01 UTC,Microsoft Office
2017/03/22 13:46:01 UTC,Microsoft Word
2017/03/22 13:46:01 UTC,Microsoft Excel
2017/02/23 14:08:41 UTC,C
2017/02/23 14:08:39 UTC,PowerPoint
2017/02/23 14:08:38 UTC,HTML
2017/02/23 14:08:38 UTC,Unity
2017/02/23 14:08:38 UTC,CSS
2017/02/23 14:08:37 UTC,Public Speaking
2017/02/23 14:08:36 UTC,Research
2017/02/23 14:08:36 UTC,HTML5
2017/02/23 14:08:35 UTC,Matlab
2017/02/23 14:08:35 UTC,PHP
2017/02/23 14:08:34 UTC,LaTeX
2017/02/23 14:08:33 UTC,Cascading Style Sheets (CSS)
2017/02/23 14:08:33 UTC,Microsoft PowerPoint
2017/02/23 14:08:32 UTC,C++
2017/02/23 14:08:32 UTC,Android Development
2017/02/23 14:08:32 UTC,Customer Service
2017/02/23 14:08:29 UTC,Microsoft Word
2017/02/23 14:08:28 UTC,Microsoft Excel
2017/02/23 14:08:27 UTC,Microsoft Office
2017/02/11 08:39:37 UTC,Microsoft Excel
2017/02/11 08:39:37 UTC,Microsoft Office
2017/02/11 08:39:37 UTC,Microsoft Word
2017/02/11 08:39:37 UTC,C++
2017/02/11 08:39:37 UTC,C
2017/01/30 11:10:41 UTC,Microsoft Office
2017/01/30 11:10:41 UTC,Microsoft PowerPoint
2017/01/30 11:10:41 UTC,Microsoft Excel
2017/01/30 11:10:41 UTC,C++
2017/01/30 11:10:41 UTC,C
2017/01/24 10:57:28 UTC,Matlab
2017/01/24 10:57:28 UTC,Public Speaking
2017/01/24 10:57:28 UTC,Research
2017/01/24 10:57:28 UTC,Microsoft PowerPoint
2017/01/24 10:57:28 UTC,HTML
2017/01/08 15:40:54 UTC,Java
2017/01/08 15:40:54 UTC,Android Development
2016/12/22 06:24:14 UTC,Microsoft Office
2016/12/16 04:22:47 UTC,C
2016/12/16 04:22:47 UTC,Microsoft Word
2016/12/16 04:22:47 UTC,Microsoft Office
2016/12/16 04:22:47 UTC,Microsoft Excel
2016/12/16 04:22:47 UTC,C++
2016/11/23 03:53:51 UTC,Matlab
2016/11/23 03:53:47 UTC,Cascading Style Sheets (CSS)
2016/11/23 03:53:46 UTC,CSS
2016/11/23 03:53:45 UTC,PHP
2016/11/23 03:53:44 UTC,HTML5
2016/11/23 03:53:39 UTC,Android Development
2016/11/22 13:17:01 UTC,C++
2016/11/22 13:17:01 UTC,Microsoft Word
2016/11/22 13:17:00 UTC,Microsoft Office
2016/11/22 13:17:00 UTC,Microsoft Excel
2016/11/22 09:34:44 UTC,C++
2016/11/22 09:34:44 UTC,Microsoft Word
2016/11/22 09:34:44 UTC,C
2016/11/22 09:34:44 UTC,Microsoft Office
2016/11/22 09:34:44 UTC,Microsoft Excel
2016/09/01 14:55:34 UTC,Matlab
2016/07/31 14:39:41 UTC,Cascading Style Sheets (CSS)
2016/07/18 18:09:23 UTC,Microsoft Word
2016/07/12 18:06:49 UTC,Microsoft Office
2016/07/12 18:06:49 UTC,Microsoft Excel
2016/07/04 15:32:08 UTC,Microsoft Office
2016/07/04 15:32:08 UTC,C++
2016/07/04 15:32:08 UTC,Microsoft Word
2016/07/04 15:32:08 UTC,Microsoft Excel
2016/07/04 15:32:08 UTC,Public Speaking
2016/07/02 07:11:34 UTC,Microsoft Excel
2016/07/02 07:00:40 UTC,Microsoft Office
2016/06/23 05:12:51 UTC,CSS
2016/06/23 05:12:49 UTC,HTML5
2016/06/23 05:12:47 UTC,Customer Service
2016/06/23 05:12:46 UTC,PowerPoint
2016/06/23 05:12:45 UTC,Public Speaking
2016/06/23 05:12:44 UTC,Microsoft Word
2016/06/23 05:12:44 UTC,Microsoft Excel
2016/06/23 05:12:43 UTC,Android Development
2016/06/23 05:12:33 UTC,C
2016/06/23 05:12:33 UTC,Cascading Style Sheets (CSS)
2016/06/23 05:12:33 UTC,Research
2016/06/23 05:12:33 UTC,C++
2016/06/23 05:12:33 UTC,Microsoft Office
2016/03/18 05:13:49 UTC,C++
2016/03/18 05:13:48 UTC,Public Speaking
2016/03/18 05:13:34 UTC,Microsoft Word
2016/03/18 05:13:34 UTC,Microsoft Excel
2016/03/18 05:13:34 UTC,Android Development
2016/03/18 05:13:33 UTC,Microsoft Office
2016/03/08 13:43:21 UTC,Android Development
2016/03/08 13:43:04 UTC,Customer Service
2016/03/08 13:43:04 UTC,C++
2016/03/08 13:43:04 UTC,C
2016/03/08 13:43:04 UTC,Public Speaking
2016/03/08 13:43:04 UTC,Research
2016/03/08 09:24:06 UTC,Microsoft Word
2016/03/08 09:23:59 UTC,Microsoft Excel
