Company,Position,Connected On
Sandhar Technologies Limited,Summer Intern,29-Sep-20
R2 Robotronics,Drone and Rover Solutions,29-Sep-20
Student,Student,29-Sep-20
Shell,Software Engineer,29-Sep-20
,,29-Sep-20
Cerner Corporation,Senior Software Engineer,29-Sep-20
International MUN ,Campus Ambassador,29-Sep-20
,,29-Sep-20
Harvard Kennedy School,Research Assistant,25-Sep-20
Benfie Consultancy Private Limited,Digital Marketing Intern,24-Sep-20
Deloitte Consulting,Business Technology Analyst,24-Sep-20
HCL Technologies,Senior Specialist,24-Sep-20
Script Winter of Code,Mentor,24-Sep-20
,,24-Sep-20
ASME (The American Society of Mechanical Engineers),council member,24-Sep-20
Paytm,Assistant Product Manager,24-Sep-20
,,24-Sep-20
Infogain,Software Engineer,24-Sep-20
,,24-Sep-20
Technische Universiteit Delft,Doctoral Researcher,24-Sep-20
Developer Student Clubs,Marketing Team,24-Sep-20
PRINCE PIPES AND FITTINGS LTD,GET,24-Sep-20
Searce Inc,Cloud Engineer,24-Sep-20
Prognos,QA Engineer,24-Sep-20
"RStudio, Inc.",Chief Scientist,21-Sep-20
Online Trainer,Software Trainee,20-Sep-20
,,20-Sep-20
Amazon,Software Development Engineer,20-Sep-20
Pie Rooms,Development Team Lead,20-Sep-20
Excella Tech,Intern,20-Sep-20
Tata Consultancy Services,Data Scientist,20-Sep-20
,,20-Sep-20
People Realm Recruitment Services Private Limited,consulting associate,20-Sep-20
Harvard Business Review,Member as HBR ascend select,20-Sep-20
yumlux,Founder,20-Sep-20
,,20-Sep-20
Self-employed,Entrepreneur and Business Mind-Set Builder ,20-Sep-20
Sri Sairam Engineering College,Student,20-Sep-20
,,20-Sep-20
Xavier's Commerce and Management Society,Sub - Committee Member,20-Sep-20
SeeWare Technosoft,Security Analyst,20-Sep-20
Coding Blocks,Campus Ambassador,20-Sep-20
Learning Edge India,HR & Digital Marketing Consultant,20-Sep-20
WooTech,Advisor Mentor,20-Sep-20
Chargebee,Senior Manager - Sales,20-Sep-20
Successive Technologies,Associate Business Analyst,20-Sep-20
The Uplift Project,Uplift Project (mentee),20-Sep-20
Sidhi Infotech,Technical Recruiter,20-Sep-20
Sadhrasya SoftTech,Human Resources Associate,20-Sep-20
SAVY WORK,Digital Marketing Executive,20-Sep-20
GeeksforGeeks,Technical Content Writing Intern,20-Sep-20
Hitachi Vantara,Associate,20-Sep-20
Deloitte India (Offices of the US),Business Technology Analyst,20-Sep-20
Reap Benefit,Problem solver's club,20-Sep-20
VNurt Technology Solutions Private Limited,Inter ,20-Sep-20
Tata Communications Transformation Services (TCTS),Sr.Customer Service Executive,20-Sep-20
